,City,Country,Lat,Lng,Hotel Name
161,celestun,MX,20.87,-90.4,Hotel Gutierrez
162,darby,US,39.92,-75.26,DoubleTree by Hilton Hotel Philadelphia Airport
163,nang rong,CN,29.05,93.07,Lang County Fuzhou Hotel
164,keuruu,FI,62.27,24.7,Bed & Breakfast Makasiini
165,san patricio,ML,13.3,-4.9,Hôtel Teriya
166,thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
167,kavaratti,IN,10.57,72.64,Bismillah Hotel And Lodging
168,dorchester,US,33.1,-80.38,
169,palembang,ID,-2.92,104.75,Aston Palembang Hotel & Conference Center
170,houston,US,29.76,-95.36,The Whitehall Houston
171,mount isa,GB,53.66,-1.85,Pennine Manor
172,chokurdakh,RU,70.63,147.92,
173,matara,LK,5.95,80.54,ParrotFish Bay
174,geraldton,AU,-28.77,114.6,Ocean Centre Hotel
175,kruisfontein,ZA,-34.0,24.73,
176,santa isabel do rio negro,PH,17.49,120.43,Monte Leah Beach Resort
177,nikolskoye,RU,59.7,30.79,
178,tazovskiy,RU,67.47,78.7,Hotel Tazovchanka
179,sorkjosen,NO,69.8,20.93,Henriksen Gjestestue AS
180,riyadh,SA,24.69,46.72,Four Seasons Hotel Riyadh At Kingdom Center
181,clyde river,US,41.3,-82.98,Red Roof Inn Clyde
182,svetlaya,RU,46.54,138.33,
183,seymchan,RU,62.88,152.43,
184,alihe,CN,50.57,123.72,Great Xianbei Hotel Inner Mongolia
185,santarem,BR,-2.44,-54.71,Hotel Palace Santarém
186,derzhavinsk,KZ,51.1,66.32,Gostinitsa Galaktika
187,kalevala,RU,65.2,31.17,Hotel Welt
188,saldanha,ZA,-33.01,17.94,Blue Bay Lodge
189,perevolotskiy,RU,51.88,54.19,GRAND OASIS
190,saint-philippe,RE,-21.36,55.77,Pinpin d'Amour
191,troitsko-pechorsk,RU,62.71,56.2,Pechora Gostinitsa
192,puerto ayacucho,ES,36.59,-6.23,Duques de Medinaceli
193,heihe,CN,50.24,127.49,Hanting Hotel
194,salinopolis,BR,-0.61,-47.36,Hotel Concha do Mar
195,almunecar,ES,36.73,-3.69,Hotel Helios Costa Tropical
196,faanui,PF,-16.48,-151.75,Oa Oa Lodge
197,nantucket,US,41.28,-70.1,Harborview Nantucket
198,nouadhibou,MR,20.93,-17.03,Hôtel Sahel
199,kulhudhuffushi,MV,6.62,73.07,Hondaafushi Island Resort
200,ranong,TH,9.97,98.63,The Hidden Resort & Restaurant เดอะฮิดเด้น รีสอร์ท แอนด์ เรสเตอรองท์
201,viseu,PT,40.66,-7.91,Hotel Durão
202,kolomna,RU,55.08,38.78,40th Meridian Arbat
203,antunez,MX,19.02,-102.2,
204,mar del plata,ES,43.4,-4.01,Hotel Playa de Los Locos
205,larsnes,NO,62.2,5.58,Sørbrandal
206,ilulissat,GL,69.22,-51.1,Hotel Icefiord
207,longyearbyen,SJ,78.22,15.64,Mary-Ann's Polarrigg
208,niort,FR,46.33,-0.33,Hôtel Restaurant Campanile Niort
209,willowmore,ZA,-33.29,23.49,Royal Hotel
210,tobol,KZ,52.68,62.58,
211,nanakuli,US,21.39,-158.15,
212,dong hoi,CM,4.89,12.01,
213,shevchenkove,UA,49.7,37.17,
214,grindavik,IS,63.84,-22.43,Mar Guesthouse
215,cape coast,CL,-36.41,-71.9,Hotel Molino Viejo
