City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
jizan,40,SA,1587250572,74,17.33,42.67,86.0,9.17
praya,40,CV,1587250542,60,14.92,-23.51,73.4,21.92
filadelfia,40,US,1587250289,42,39.95,-75.16,48.99,21.92
kashi,40,CN,1587250006,66,39.45,75.98,51.8,4.47
vanimo,95,PG,1587250572,72,-2.67,141.3,84.67,4.07
lake havasu city,1,US,1587250572,41,42.33,-88.0,57.2,24.16
isangel,75,VU,1587250206,88,-19.55,169.27,80.6,6.93
rognan,100,NO,1587250573,97,67.1,15.39,39.99,3.27
fasa,40,IR,1587250573,100,28.94,53.65,48.2,2.28
whitehorse,20,CA,1587250023,28,60.72,-135.05,57.2,4.7
ayan,97,RU,1587250573,83,56.45,138.17,19.2,7.11
margate,19,GB,1587250573,91,51.38,1.39,46.99,1.99
pisco,17,PE,1587250201,69,-13.7,-76.22,73.4,17.22
maloy,2,NO,1587250573,86,61.94,5.11,41.0,3.36
samarai,97,PG,1587250275,69,-10.62,150.67,84.61,2.93
birao,90,CF,1587250314,14,10.28,22.79,76.93,1.74
santiago del estero,67,CL,1587250403,26,-33.46,-70.65,78.8,4.7
chimbote,2,PE,1587250256,82,-9.09,-78.58,71.22,8.25
abapo,6,BO,1587250574,34,-18.83,-63.47,65.16,2.57
tanakpur,2,IN,1587250574,34,29.08,80.12,72.5,4.54
pocoes,96,BR,1587250574,79,-14.53,-40.37,67.14,6.04
acheng,75,CN,1587250574,65,45.55,126.98,53.01,8.95
cayenne,90,GF,1587250178,83,4.93,-52.33,80.6,5.82
spring valley,90,US,1587250574,78,30.08,-95.42,72.0,6.42
trairi,32,BR,1587250574,81,-3.28,-39.27,79.11,2.44
oktyabrskoye,100,RU,1587250575,86,43.06,44.74,41.0,8.95
newport,70,GB,1587250459,97,51.59,-3.0,50.0,9.82
hailar,100,CN,1587250575,64,49.2,119.7,32.07,14.63
tual,98,ID,1587250575,75,-5.67,132.75,84.04,8.05
ranot,89,TH,1587250575,77,7.78,100.32,82.8,5.5
san quintin,99,ML,1587250292,21,13.3,-4.9,94.12,8.41
acarau,40,BR,1587250526,85,-2.89,-40.12,77.0,1.03
tibati,84,CM,1587250575,61,6.47,12.63,72.05,3.67
nizhnevartovsk,100,RU,1587250576,57,60.93,76.55,50.0,11.18
datong,95,CN,1587250576,46,40.09,113.29,48.06,13.89
chapais,1,CA,1587250576,38,49.78,-74.85,39.2,17.22
segezha,100,RU,1587250576,94,63.74,34.32,31.91,10.04
talnakh,100,RU,1587250576,80,69.49,88.4,35.6,33.55
synya,98,RU,1587250576,97,65.37,58.04,27.82,2.73
torbay,20,CA,1587250263,50,47.67,-52.73,35.01,11.41
fairbanks,90,US,1587250452,100,64.84,-147.72,43.0,3.36
gushikawa,1,JP,1587250576,94,26.35,127.87,71.6,8.05
lebu,51,CL,1587250084,91,-37.62,-73.65,54.84,2.13
lagunas,12,PE,1587250287,68,-5.23,-75.68,74.3,2.8
dauphin,96,CA,1587250577,92,51.15,-100.05,27.41,9.8
taltal,27,CL,1587250577,72,-25.4,-70.48,63.88,4.94
camapua,41,BR,1587250577,75,-19.53,-54.04,71.1,5.26
vratnica,38,MK,1587250577,66,42.14,21.12,51.8,2.24
sao joao da barra,30,IN,1587250266,25,20.51,76.21,81.41,3.51
zary,52,PL,1587250577,49,51.64,15.14,46.0,5.99
ola,100,RU,1587250293,85,59.58,151.28,12.81,12.71
belmonte,90,BR,1587250578,83,-15.86,-38.88,75.2,9.17
provideniya,100,RU,1587250264,96,64.38,-173.3,23.2,13.89
sirjan,53,IR,1587250578,37,29.45,55.68,56.95,6.11
muli,64,MV,1587250578,79,2.92,73.57,84.07,12.37
gimli,96,CA,1587250578,61,50.63,-96.99,34.0,13.0
machilipatnam,15,IN,1587250578,91,16.17,81.13,79.43,6.71
ossora,10,RU,1587250578,89,59.24,163.07,21.97,4.0
luderitz,4,NA,1587250278,100,-26.65,15.16,57.2,5.82
merauke,100,ID,1587250579,75,-8.47,140.33,83.48,8.9
college,90,US,1587250259,93,64.86,-147.8,42.8,2.06
kenai,90,US,1587250261,86,60.55,-151.26,48.2,9.17
port moresby,98,CD,1587250294,60,-7.03,29.76,73.72,3.42
limbang,75,MY,1587250579,100,4.75,115.0,78.01,4.7
ucluelet,40,CA,1587250579,76,48.93,-125.55,55.0,9.17
yichun,100,CN,1587250579,30,47.7,128.9,57.09,10.54
bengkulu,87,ID,1587250289,83,-3.8,102.27,77.59,3.89
sault sainte marie,85,FR,1587250579,82,44.09,5.41,59.0,4.7
nianzishan,100,CN,1587250579,83,47.52,122.88,54.0,12.06
pandan,73,PH,1587250293,77,14.05,124.17,81.99,10.98
santa barbara,90,PH,1587250566,61,17.49,120.43,85.17,1.66
jacareacanga,80,BR,1587250580,92,-6.22,-57.75,74.98,0.13
brae,0,GB,1587250094,93,60.4,-1.35,42.8,2.24
rawson,88,AR,1587250310,54,-43.3,-65.1,69.31,9.24
doha,71,QA,1587250272,78,25.29,51.53,75.99,4.7
vallenar,4,CL,1587250580,59,-28.57,-70.76,63.28,0.92
sinop,0,TR,1587250580,56,41.77,34.87,46.13,1.36
korla,99,CN,1587250580,46,41.76,86.15,55.0,5.01
haukipudas,20,FI,1587250580,86,65.18,25.35,33.8,6.93
